FIPS	Admin2	Province_State	Country_Region	Last_Update	Lat	Long_	Confirmed	Deaths	Recovered	Active	Combined_Key	Incident_Rate	Case_Fatality_Ratio
	""	""	Afghanistan	2021-06-02T04:24:34Z	33.93911	67.709953	72977	2973	57741	12263	Afghanistan	187.464962866	4.07388629294161
	""	""	Albania	2021-06-02T04:24:34Z	41.1533	20.1683	132337	2451	129473	413	Albania	4598.5475015637	1.85208974058653
	""	""	Algeria	2021-06-02T04:24:34Z	28.0339	1.6596	129218	3480	90057	35681	Algeria	294.674860983352	2.69312324908295
	""	""	Andorra	2021-06-02T04:24:34Z	42.5063	1.5218	13729	127	13479	123	Andorra	17768.7180482754	0.92504916599898
	""	""	Angola	2021-06-02T04:24:34Z	-11.2027	17.8739	34752	772	28190	5790	Angola	105.737590894105	2.22145488029466
	""	""	Antigua and Barbuda	2021-06-02T04:24:34Z	17.0608	-61.7964	1260	42	1213	5	Antigua and Barbuda	1286.65958663508	3.33333333333333
	""	""	Argentina	2021-06-02T04:24:34Z	-38.4161	-63.6167	3817139	78733	3381337	357069	Argentina	8445.78687075122	2.06261810219644
	""	""	Armenia	2021-06-02T04:24:34Z	40.0691	45.0382	222778	4445	213429	4904	Armenia	7518.06978456646	1.99525985510239
	""	Australian Capital Territory	Australia	2021-06-02T04:24:34Z	-35.4735	149.0124	124	3	121	0	Australian Capital Territory, Australia	28.965195047886	2.41935483870968
	""	New South Wales	Australia	2021-06-02T04:24:34Z	-33.8688	151.2093	5588	54	0	5534	New South Wales, Australia	68.8346883468835	0.966356478167502
	""	Northern Territory	Australia	2021-06-02T04:24:34Z	-12.4634	130.8456	173	0	170	3	Northern Territory, Australia	70.4397394136808	0
	""	Queensland	Australia	2021-06-02T04:24:34Z	-27.4698	153.0251	1619	7	1591	21	Queensland, Australia	31.6489101749585	0.432365657813465
	""	South Australia	Australia	2021-06-02T04:24:34Z	-34.9285	138.6007	754	4	748	2	South Australia, Australia	42.9262738400228	0.530503978779841
	""	Tasmania	Australia	2021-06-02T04:24:34Z	-42.8821	147.3272	234	13	221	0	Tasmania, Australia	43.6974789915966	5.55555555555556
	""	Victoria	Australia	2021-06-02T04:24:34Z	-37.8136	144.9631	20614	820	19727	67	Victoria, Australia	310.924749996229	3.97787911128359
	""	Western Australia	Australia	2021-06-02T04:24:34Z	-31.9505	115.8605	1018	9	1006	3	Western Australia, Australia	38.6983958032388	0.884086444007859
	""	""	Austria	2021-06-02T04:24:34Z	47.5162	14.5501	645152	10615	629713	4824	Austria	7163.2616805827	1.64534869302118
	""	""	Azerbaijan	2021-06-02T04:24:34Z	40.1431	47.5769	334132	4921	325040	4171	Azerbaijan	3295.45549810512	1.4727712401087
	""	""	Bahamas	2021-06-02T04:24:34Z	25.025885	-78.035889	11796	230	10730	836	Bahamas	2999.6338188624	1.94981349610037
	""	""	Bahrain	2021-06-02T04:24:34Z	26.0275	50.55	242790	1009	213827	27954	Bahrain	14268.4782346791	0.415585485398904
	""	""	Bangladesh	2021-06-02T04:24:34Z	23.685	90.3563	802305	12660	742151	47494	Bangladesh	487.162551334593	1.57795352141642
	""	""	Barbados	2021-06-02T04:24:34Z	13.1939	-59.5432	4017	47	3922	48	Barbados	1397.84459809793	1.17002738361962
	""	""	Belarus	2021-06-02T04:24:34Z	53.7098	27.9534	395075	2861	386088	6126	Belarus	4180.98824243562	0.724166297538442
	""	Antwerp	Belgium	2021-06-02T04:24:34Z	51.2195	4.4024	137973	0	0	137973	Antwerp, Belgium	7425.94400603664	0
	""	Brussels	Belgium	2021-06-02T04:24:34Z	50.8503	4.3517	130484	0	0	130484	Brussels, Belgium	10796.8113644375	0
	""	East Flanders	Belgium	2021-06-02T04:24:34Z	51.0362	3.7373	121992	0	0	121992	East Flanders, Belgium	8051.93707988573	0
	""	Flemish Brabant	Belgium	2021-06-02T04:24:34Z	50.9167	4.5833	80909	0	0	80909	Flemish Brabant, Belgium	7059.04421227125	0
	""	Hainaut	Belgium	2021-06-02T04:24:34Z	50.5257	4.0621	157004	0	0	157004	Hainaut, Belgium	11679.7508780048	0
	""	Liege	Belgium	2021-06-02T04:24:34Z	50.4496	5.8492	128473	0	0	128473	Liege, Belgium	11605.5942590371	0
	""	Limburg	Belgium	2021-06-02T04:24:34Z	50.9739	5.342	59865	0	0	59865	Limburg, Belgium	6849.16617851651	0
	""	Luxembourg	Belgium	2021-06-02T04:24:34Z	50.0547	5.4677	30949	0	0	30949	Luxembourg, Belgium	10873.1090016091	0
	""	Namur	Belgium	2021-06-02T04:24:34Z	50.331	4.8221	58699	0	0	58699	Namur, Belgium	11874.5764426238	0
	""	Unknown	Belgium	2021-06-02T04:24:34Z			20305	24968	0	-4663	Unknown, Belgium		122.964786998276
	""	Walloon Brabant	Belgium	2021-06-02T04:24:34Z	50.4	4.35	40781	0	0	40781	Walloon Brabant, Belgium	10104.336234728	0
	""	West Flanders	Belgium	2021-06-02T04:24:34Z	51.0536	3.1458	96065	0	0	96065	West Flanders, Belgium	8033.56090838237	0
	""	""	Belize	2021-06-02T04:24:34Z	17.1899	-88.4976	12819	325	12417	77	Belize	3223.92428971307	2.53529916530151
	""	""	Benin	2021-06-02T04:24:34Z	9.3077	2.3158	8058	101	7893	64	Benin	66.4676102790699	1.25341275750807
	""	""	Bhutan	2021-06-02T04:24:34Z	27.5142	90.4336	1632	1	1308	323	Bhutan	211.505264303821	0.0612745098039216
	""	""	Bolivia	2021-06-02T04:24:34Z	-16.2902	-63.5887	374718	14639	297580	62499	Bolivia	3210.11795653039	3.90667115003816
	""	""	Bosnia and Herzegovina	2021-06-02T04:24:34Z	43.9159	17.6791	204093	9270	175456	19367	Bosnia and Herzegovina	6220.80184344439	4.54204700798166
	""	""	Botswana	2021-06-02T04:24:34Z	-22.3285	24.6849	54973	849	51259	2865	Botswana	2337.66012863445	1.54439452094665
	""	Acre	Brazil	2021-06-02T04:24:34Z	-9.0238	-70.812	82581	1669	73913	6999	Acre, Brazil	9363.61523241509	2.02104600331795
	""	Alagoas	Brazil	2021-06-02T04:24:34Z	-9.5713	-36.782	193581	4768	184699	4114	Alagoas, Brazil	5800.42830299545	2.46305164246491
	""	Amapa	Brazil	2021-06-02T04:24:34Z	0.902	-52.003	112243	1702	88251	22290	Amapa, Brazil	13271.7140556513	1.51635291287653
	""	Amazonas	Brazil	2021-06-02T04:24:34Z	-3.4168	-65.8561	387038	12996	329224	44818	Amazonas, Brazil	9338.3747563394	3.3578098274588
	""	Bahia	Brazil	2021-06-02T04:24:34Z	-12.5797	-41.7007	1016480	21329	979917	15234	Bahia, Brazil	6834.36849327079	2.09831969148434
	""	Ceara	Brazil	2021-06-02T04:24:34Z	-5.4984	-39.3206	805134	20587	553742	230805	Ceara, Brazil	8816.54755905501	2.55696567279484
	""	Distrito Federal	Brazil	2021-06-02T04:24:34Z	-15.7998	-47.8645	406739	8692	387274	10773	Distrito Federal, Brazil	13489.3150459594	2.13699694398619
	""	Espirito Santo	Brazil	2021-06-02T04:24:34Z	-19.1834	-40.3089	483841	10830	453077	19934	Espirito Santo, Brazil	12039.8890174561	2.23833862777235
	""	Goias	Brazil	2021-06-02T04:24:34Z	-15.827	-49.8362	611675	17167	581132	13376	Goias, Brazil	8715.36260496407	2.80655576899497
	""	Maranhao	Brazil	2021-06-02T04:24:34Z	-4.9609	-45.2744	291373	8160	256645	26568	Maranhao, Brazil	4118.2409326348	2.80053402339956
	""	Mato Grosso	Brazil	2021-06-02T04:24:34Z	-12.6819	-56.9211	406915	10801	376166	19948	Mato Grosso, Brazil	11677.9730380494	2.65436270474178
	""	Mato Grosso do Sul	Brazil	2021-06-02T04:24:34Z	-20.7722	-54.7852	292677	6867	263613	22197	Mato Grosso do Sul, Brazil	10531.7910921466	2.34627251201837
	""	Minas Gerais	Brazil	2021-06-02T04:24:34Z	-18.5122	-44.555	1579287	40556	1451585	87146	Minas Gerais, Brazil	7460.44967801893	2.56799429109465
	""	Para	Brazil	2021-06-02T04:24:34Z	-1.9981	-54.9306	518002	14523	481944	21535	Para, Brazil	6021.2731456323	2.80365712873695
	""	Paraiba	Brazil	2021-06-02T04:24:34Z	-7.24	-36.782	332716	7703	224912	100101	Paraiba, Brazil	8280.37540874144	2.31518772767165
	""	Parana	Brazil	2021-06-02T04:24:34Z	-25.2521	-52.0215	1098725	26631	763527	308567	Parana, Brazil	9609.3154801964	2.42380941545883
	""	Pernambuco	Brazil	2021-06-02T04:24:34Z	-8.8137	-36.9541	485594	15940	402711	66943	Pernambuco, Brazil	5080.99186455767	3.28257762657693
	""	Piaui	Brazil	2021-06-02T04:24:34Z	-7.7183	-42.7289	273756	5952	265912	1892	Piaui, Brazil	8363.48960826732	2.17419892166747
	""	Rio Grande do Norte	Brazil	2021-06-02T04:24:34Z	-5.4026	-36.9541	269685	6149	150649	112887	Rio Grande do Norte, Brazil	7690.22824737735	2.28006748614124
	""	Rio Grande do Sul	Brazil	2021-06-02T04:24:34Z	-30.0346	-51.2177	1091074	28354	1044374	18346	Rio Grande do Sul, Brazil	9589.9716969996	2.59872382624827
	""	Rio de Janeiro	Brazil	2021-06-02T04:24:34Z	-22.9068	-43.1729	869302	50840	805372	13090	Rio de Janeiro, Brazil	5035.0701997684	5.84837030169032
	""	Rondonia	Brazil	2021-06-02T04:24:34Z	-11.5057	-63.5806	230646	5777	215600	9269	Rondonia, Brazil	12977.872807326	2.50470417869809
	""	Roraima	Brazil	2021-06-02T04:24:34Z	-2.7376	-62.0751	103836	1639	97922	4275	Roraima, Brazil	17141.4138579407	1.57845063369159
	""	Santa Catarina	Brazil	2021-06-02T04:24:34Z	-27.2423	-50.2189	972599	15354	935121	22124	Santa Catarina, Brazil	13574.7073046683	1.57865677427182
	""	Sao Paulo	Brazil	2021-06-02T04:24:34Z	-23.5505	-46.6333	3291509	112210	2957594	221705	Sao Paulo, Brazil	7168.06874637147	3.40907468276708
	""	Sergipe	Brazil	2021-06-02T04:24:34Z	-10.5741	-37.3857	238276	5114	208146	25016	Sergipe, Brazil	10365.702989869	2.14625056656986
	""	Tocantins	Brazil	2021-06-02T04:24:34Z	-10.1753	-48.2982	179196	2889	161928	14379	Tocantins, Brazil	11392.9603666174	1.61220116520458
	""	""	Brunei	2021-06-02T04:24:34Z	4.5353	114.7277	244	3	231	10	Brunei	55.7735957740072	1.22950819672131
	""	""	Bulgaria	2021-06-02T04:24:34Z	42.7339	25.4858	418813	17726	383765	17322	Bulgaria	6027.434915294	4.23243786606433
	""	""	Burkina Faso	2021-06-02T04:24:34Z	12.2383	-1.5616	13435	167	13256	12	Burkina Faso	64.2722160610408	1.2430219575735
	""	""	Burma	2021-06-02T04:24:34Z	21.9162	95.956	143751	3217	132360	8174	Burma	264.200595944179	2.23789747549582
	""	""	Burundi	2021-06-02T04:24:34Z	-3.3731	29.9189	4803	6	773	4024	Burundi	40.392636951265	0.124921923797627
	""	""	Cabo Verde	2021-06-02T04:24:34Z	16.5388	-23.0418	30523	264	28804	1455	Cabo Verde	5489.86668777024	0.86492153458048
	""	""	Cambodia	2021-06-02T04:24:34Z	11.55	104.9167	30710	220	23389	7101	Cambodia	183.683553252171	0.716379029632042
	""	""	Cameroon	2021-06-02T04:24:34Z	3.848	11.5021	78929	1275	35261	42393	Cameroon	297.33068774857	1.61537584411306
	""	Alberta	Canada	2021-06-02T04:24:34Z	53.9333	-116.5765	227718	2228	218719	6771	Alberta, Canada	5159.99244076675	0.978403112621752
	""	British Columbia	Canada	2021-06-02T04:24:34Z	53.7267	-127.6476	144473	1703	139899	2871	British Columbia, Canada	2826.75300733704	1.17876696683809
	""	Diamond Princess	Canada	2020-12-21T13:27:30Z			0	1	0		Diamond Princess, Canada		
	""	Grand Princess	Canada	2020-12-21T13:27:30Z			13	0	13	0	Grand Princess, Canada		0
	""	Manitoba	Canada	2021-06-02T04:24:34Z	53.7609	-98.8139	51316	1056	45927	4333	Manitoba, Canada	3725.25348144524	2.05783771143503
	""	New Brunswick	Canada	2021-06-02T04:24:34Z	46.5653	-66.4619	2215	43	2029	143	New Brunswick, Canada	283.976907485067	1.94130925507901
	""	Newfoundland and Labrador	Canada	2021-06-02T04:24:34Z	53.1355	-57.6604	1317	6	1217	94	Newfoundland and Labrador, Canada	252.606139652643	0.455580865603645
	""	Northwest Territories	Canada	2021-06-02T04:24:34Z	64.8255	-124.8457	128	0	128	0	Northwest Territories,Canada	285.052556565117	0
	""	Nova Scotia	Canada	2021-06-02T04:24:34Z	44.682	-63.7443	5579	85	5125	369	Nova Scotia, Canada	570.766795879512	1.52357053235347
	""	Nunavut	Canada	2021-06-02T04:24:34Z	70.2998	-83.1076	648	4	635	9	Nunavut, Canada	1670.96441464673	0.617283950617284
	""	Ontario	Canada	2021-06-02T04:24:34Z	51.2538	-85.3232	539910	8766	520983	10182	Ontario, Canada	3669.90449248758	1.61971439684392
	""	Prince Edward Island	Canada	2021-06-02T04:24:34Z	46.5107	-63.4168	204	0	200	4	Prince Edward Island, Canada	128.984939111521	0
	""	Quebec	Canada	2021-06-02T04:24:34Z	52.9399	-73.5491	371088	11133	355785	3609	Quebec, Canada	4339.90569328367	3.00463933802395
	""	Repatriated Travellers	Canada	2021-06-02T04:24:34Z			13	0	13	0	Repatriated Travellers, Canada		0
	""	Saskatchewan	Canada	2021-06-02T04:24:34Z	52.9399	-106.4509	46834	540	45022	1272	Saskatchewan, Canada	3963.38728540891	1.15300849809967
	""	Yukon	Canada	2021-06-02T04:24:34Z	64.2823	-135	84	2	82	0	Yukon, Canada	204.489020887093	2.38095238095238
	""	""	Central African Republic	2021-06-02T04:24:34Z	6.6111	20.9394	7091	98	6859	134	Central African Republic	146.818767956364	1.38203356367226
	""	""	Chad	2021-06-02T04:24:34Z	15.4542	18.7322	4934	173	4747	14	Chad	30.0380028831369	3.50628293473855
	""	Antofagasta	Chile	2021-06-02T04:24:34Z	-23.6509	-70.3975	53547	1044	51298	1205	Antofagasta, Chile	8813.82770347009	1.94968905821054
	""	Araucania	Chile	2021-06-02T04:24:34Z	-38.9489	-72.3311	83368	1073	79861	2434	Araucania, Chile	8709.35120724094	1.28706458113425
	""	Arica y Parinacota	Chile	2021-06-02T04:24:34Z	-18.594	-69.4785	22869	444	21788	637	Arica y Parinacota, Chile	10115.9828016349	1.94149285058376
	""	Atacama	Chile	2021-06-02T04:24:34Z	-27.5661	-70.0503	21550	236	20442	872	Atacama, Chile	7458.19259095188	1.09512761020882
	""	Aysen	Chile	2021-06-02T04:24:34Z	-45.9864	-73.7669	6026	35	5515	476	Aysen, Chile	5841.52465150546	0.580816461998009
	""	Biobio	Chile	2021-06-02T04:24:34Z	-37.4464	-72.1416	130916	2098	125195	3623	Biobio, Chile	8409.27412232104	1.60255430963366
	""	Coquimbo	Chile	2021-06-02T04:24:34Z	-29.959	-71.3389	38095	702	35911	1482	Coquimbo, Chile	5028.47201505836	1.84276151725948
	""	Los Lagos	Chile	2021-06-02T04:24:34Z	-41.9198	-72.1416	77832	1053	74646	2133	Los Lagos, Chile	9391.96918576869	1.35291396854764
	""	Los Rios	Chile	2021-06-02T04:24:34Z	-40.231	-72.3311	39299	449	37418	1432	Los Rios, Chile	10211.8559286139	1.14252271050154
	""	Magallanes	Chile	2021-06-02T04:24:34Z	-52.368	-70.9863	27827	410	27102	315	Magallanes, Chile	16709.6011000823	1.47338915441837
	""	Maule	Chile	2021-06-02T04:24:34Z	-35.5183	-71.6885	85191	1377	80618	3196	Maule, Chile	8152.63888224317	1.61636792618939
	""	Metropolitana	Chile	2021-06-02T04:24:34Z	-33.4376	-70.6505	578764	15492	543958	19314	Metropolitana, Chile	8136.92707577654	2.67673870524082
	""	Nuble	Chile	2021-06-02T04:24:34Z	-36.7226	-71.7622	30380	509	28829	1042	Nuble, Chile	6321.1467117761	1.67544437129691
	""	OHiggins	Chile	2021-06-02T04:24:34Z	-34.5755	-71.0022	57524	1161	54085	2278	OHiggins, Chile	6289.83494705075	2.01828801891384
	""	Tarapaca	Chile	2021-06-02T04:24:34Z	-19.9232	-69.5132	36920	674	35693	553	Tarapaca, Chile	11168.9930360179	1.82556879739978
	""	Unknown	Chile	2021-06-02T04:24:34Z			54	0	54	0	Unknown, Chile		0
	""	Valparaiso	Chile	2021-06-02T04:24:34Z	-33.0472	-71.6127	99195	2587	93447	3161	Valparaiso, Chile	5462.57452219338	2.60799435455416
	""	Anhui	China	2021-06-02T04:24:34Z	31.8257	117.2264	1004	6	997	1	Anhui, China	1.5876027830487	0.597609561752988
	""	Beijing	China	2021-06-02T04:24:34Z	40.1824	116.4142	1059	9	1046	4	Beijing, China	4.91643454038997	0.84985835694051
	""	Chongqing	China	2021-06-02T04:24:34Z	30.0572	107.874	598	6	586	6	Chongqing, China	1.9277885235332	1.00334448160535
	""	Fujian	China	2021-06-02T04:24:34Z	26.0789	117.9874	624	1	588	35	Fujian, China	1.58335447855874	0.16025641025641
	""	Gansu	China	2021-06-02T04:24:34Z	35.7518	104.2861	194	2	192	0	Gansu, China	0.735684489950702	1.03092783505155
	""	Guangdong	China	2021-06-02T04:24:34Z	23.3417	113.4244	2481	8	2385	88	Guangdong, China	2.18667371760973	0.322450624748085
	""	Guangxi	China	2021-06-02T04:24:34Z	23.8298	108.7881	275	2	268	5	Guangxi, China	0.558262281770199	0.727272727272727
	""	Guizhou	China	2021-06-02T04:24:34Z	26.8154	106.8748	147	2	145	0	Guizhou, China	0.408333333333333	1.36054421768707
	""	Hainan	China	2021-06-02T04:24:34Z	19.1959	109.7453	188	6	181	1	Hainan, China	2.01284796573876	3.19148936170213
	""	Hebei	China	2021-06-02T04:24:34Z	37.8957	114.9042	1317	7	1310	0	Hebei, China	1.74298570672313	0.531511009870919
	""	Heilongjiang	China	2021-06-02T04:24:34Z	47.862	127.7615	1612	13	1598	1	Heilongjiang, China	4.27246223164591	0.806451612903226
	""	Henan	China	2021-06-02T04:24:34Z	33.882	113.614	1315	22	1290	3	Henan, China	1.36907860489328	1.67300380228137
	""	Hong Kong	China	2021-06-02T04:24:34Z	22.3	114.2	11848	210	11575	63	Hong Kong, China	158.03680091258	1.77245104659014
	""	Hubei	China	2021-06-02T04:24:34Z	30.9756	112.2707	68159	4512	63646	1	Hubei, China	115.191820179145	6.61981543156443
